combo	min_reads	merge_window	effect_frac	expr_frac	retained	identical	within10	n_genes	mean_five	mean_three
176	5	10	0.1	0.025	0.9987868284228769	0.7851813291688357	0.8570189137601943	6164	180.49659312134978	158.60756002595718
177	10	10	0.1	0.025	0.9984402079722704	0.8269397674014928	0.8878666898107967	5999	172.01800300050007	156.58326387731287
178	20	10	0.1	0.025	0.9979202772963605	0.9529350468912817	0.9713442167419243	5770	157.3431542461005	154.2001733102253
179	40	10	0.1	0.025	0.9285961871750433	0.7426278462112729	0.8445315416200074	5367	137.3392956959195	148.79858393888577
180	80	10	0.1	0.025	0.7790294627383015	0.5790878754171301	0.7506117908787542	4501	115.17662741612975	141.98866918462565
181	5	20	0.1	0.025	0.9993067590987869	0.7924037460978148	0.860908775580992	6165	180.3132197891322	158.70121654501216
182	10	20	0.1	0.025	0.9989601386481802	0.8346634281748786	0.8919153365718251	5998	171.9651550516839	156.7484161387129
183	20	20	0.1	0.025	0.9982668977469671	0.9635416666666666	0.9769097222222223	5769	157.32553302132087	154.43109724388975
184	40	20	0.1	0.025	0.9294627383015598	0.7499533842998322	0.8487786686556033	5368	137.47280178837556	149.57824143070044
185	80	20	0.1	0.025	0.7805892547660312	0.5845914742451155	0.7537744227353463	4507	115.32371865986244	141.92189926780563
186	5	40	0.1	0.025	1.0	0.810051993067591	0.8708838821490468	6164	180.48621025308242	159.1735885788449
187	10	40	0.1	0.025	1.0	0.8533795493934142	0.9022530329289428	6000	172.15066666666667	157.14833333333334
188	20	40	0.1	0.025	1.0	0.9837088388214905	0.9876949740034662	5770	157.68284228769497	154.95528596187174
189	40	40	0.1	0.025	0.9303292894280762	0.7656482861400894	0.856371087928465	5368	137.8289865871833	150.2961997019374
190	80	40	0.1	0.025	0.7809358752166378	0.5945406125166445	0.758988015978695	4506	115.76542387927208	142.6804260985353
191	5	80	0.1	0.025	0.9956672443674177	0.7878154917319408	0.857615317667537	6134	180.5081512879035	158.77649168568635
192	10	80	0.1	0.025	0.9951473136915078	0.8289794496691049	0.8881922675026124	5965	172.06789606035204	156.78491198658844
193	20	80	0.1	0.025	0.992894280762565	0.9558387153080817	0.9713737126898238	5732	157.76779483600836	154.6441032798325
194	40	80	0.1	0.025	0.9239168110918544	0.7475145376102045	0.8446820483961733	5332	138.16391597899474	150.11046511627907
195	80	80	0.1	0.025	0.7767764298093588	0.5825524319500223	0.752119589468987	4483	116.03055989292885	142.40196297122463
196	5	160	0.1	0.025	0.9779896013864818	0.759170653907496	0.837143363459153	6011	179.2498752287473	157.330061553818
197	10	160	0.1	0.025	0.9746967071057192	0.80049786628734	0.8675320056899004	5834	170.8008227631128	155.62649982859102
198	20	160	0.1	0.025	0.9679376083188909	0.9242614145031334	0.9502238137869293	5595	156.42984807864164	153.72386058981232
199	40	160	0.1	0.025	0.8980935875216638	0.7279042840602085	0.8321111539945967	5187	137.28455754771545	148.944669365722
