technology	gene_old	gene_new	n_reads	pct_of_reads	into_orf_body
short read	YJR107W	YJR107C-A	1497	0.004991	False
short read	YLR154W-E	YLR154W-F	1453	0.004845	False
short read	YCR015C	YCR014C	1346	0.004488	False
short read	YDL222C	YDL221W	1214	0.004048	False
short read	YKR098C	YKR097W	1040	0.003468	False
short read	YGR239C	YGR238C	978	0.003261	False
short read	YOR362C	YOR361C	946	0.003154	False
short read	YHR147C	YHR148W	813	0.002711	False
short read	YMR304W	YMR304C-A	809	0.002697	False
short read	YEL042W	YEL041W	785	0.002617	False
short read	YML090W	YML091C	685	0.002284	False
short read	YLR154W-F	YLR154W-E	624	0.002081	False
short read	YLR171W	YLR168C	609	0.002031	False
short read	YOL038W	YOL036W	563	0.001877	False
short read	YBR031W	YBR033W	484	0.001614	False
short read	YDR357C	YDR356W	449	0.001497	False
short read	YML041C	YML042W	446	0.001487	False
short read	YLR172C	YLR173W	432	0.00144	False
short read	YAL017W	YAL016C-B	421	0.001404	False
short read	YER128W	YER129W	418	0.001394	False
short read	YLR200W	YLR202C	371	0.001237	False
short read	YPR051W	YPR053C	366	0.00122	False
short read	YGL153W	YGL154C	365	0.001217	False
short read	YLR168C	YLR171W	314	0.001047	False
short read	YAL016C-B	YAL017W	299	0.000997	False
short read	YER085C	YER084W	298	0.000994	False
short read	YOR192C-B	YOR192C-C	295	0.000984	True
short read	YDL191W	YDL190C	290	0.000967	False
short read	YBR102C	YBR101C	273	0.00091	True
short read	YDR405W	YDR406W	272	0.000907	False
short read	YML003W	YML002W	252	0.00084	True
short read	YER059W	YER060W	236	0.000787	False
short read	YEL004W	YEL005C	219	0.00073	False
short read	YLR031W	YLR030W	206	0.000687	True
short read	YDR086C	YDR085C	205	0.000684	False
short read	YDR068W	YDR069C	202	0.000673	False
short read	YDR287W	YDR288W	186	0.00062	False
short read	YGR267C	YGR269W	183	0.00061	False
short read	YOR025W	YOR026W	174	0.00058	False
short read	YPL278C	YPL277C	170	0.000567	True
short read	YBR032W	YBR033W	169	0.000563	True
short read	YDR517W	YDR518W	168	0.00056	False
short read	YNL267W	YNL266W	167	0.000557	False
short read	YPR174C	YPR173C	161	0.000537	True
short read	YLR264W	YLR265C	157	0.000523	False
short read	YMR167W	YMR168C	156	0.00052	False
short read	YMR231W	YMR232W	150	0.0005	False
short read	YDR506C	YDR505C	147	0.00049	False
short read	YJL084C	YJL085W	146	0.000487	False
short read	YLR162W-A	YLR162W	145	0.000483	True
short read	YJL077W-A	YJL078C	143	0.000477	False
short read	YJL022W	YJL020C	141	0.00047	False
short read	YJL065C	YJL066C	140	0.000467	False
short read	YJL098W	YJL097W	140	0.000467	False
short read	YMR218C	YMR219W	138	0.00046	False
short read	YBL029C-A	YBL029W	137	0.000457	False
short read	YJL004C	YJL005W	135	0.00045	False
short read	YNL170W	YNL172W	131	0.000437	True
short read	YMR076C	YMR075C-A	125	0.000417	True
